symbol,name,trade_date,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct,pnl_gross,commission_entry,commission_exit,slippage_entry,slippage_exit,pnl_net,position_size,notional,gap_pct,atr_at_entry,confidence
RB,螺纹钢,2011-05-06,long,2011-05-06,4850.0,2011-05-06 00:45:00,4804.0,exit,-0.009484536082474227,-7820.0,82.45,81.67,170.0,170.0,-8324.12,17,824500.0,-0.012823122328516182,57.6429,0.7113
RB,螺纹钢,2013-04-16,long,2013-04-16,3680.0,2013-04-16 00:45:00,3750.0,exit,0.019021739130434784,9800.0,51.52,52.5,140.0,140.0,9415.98,14,515200.0,-0.015516318887105404,71.0,0.7444
RB,螺纹钢,2015-02-26,long,2015-02-26,2486.0,2015-02-26 00:45:00,2505.0,exit,0.007642799678197908,6080.0,79.55,80.16,320.0,320.0,5280.29,32,795520.0,-0.01932938856015779,30.5714,0.703
RB,螺纹钢,2020-03-09,long,2020-03-09,3350.0,2020-03-09 00:45:00,3439.0,exit,0.02656716417910448,14240.0,53.6,55.02,160.0,160.0,13811.38,16,536000.0,-0.026445800639349027,61.8571,0.7578
I,铁矿石,2015-02-26,long,2015-02-26,480.0,2015-02-26 00:45:00,489.0,exit,0.01875,9900.0,52.8,53.79,550.0,550.0,8693.41,11,528000.0,-0.02636916835699797,9.0,0.7786
I,铁矿石,2015-03-09,long,2015-03-09,447.0,2015-03-09 00:45:00,454.0,exit,0.015659955257270694,6300.0,40.23,40.86,450.0,450.0,5318.91,9,402300.0,-0.019736842105263157,10.1429,0.7047
TA,PTA,2007-04-02,long,2007-04-02,8300.0,2007-04-02 00:45:00,8483.857142857143,take_profit,0.02215146299483652,29417.14,96.0,96.0,320.0,320.0,28585.14,32,1328000.0,-0.009073543457497613,61.2857,0.7848
TA,PTA,2010-04-28,long,2010-04-28,8354.0,2010-04-28 00:45:00,8430.0,exit,0.009097438352884846,9500.0,75.0,75.0,250.0,250.0,8850.0,25,1044250.0,-0.014626091059212079,78.7143,0.7089
TA,PTA,2011-12-15,long,2011-12-15,8036.0,2011-12-15 00:45:00,8120.0,exit,0.010452961672473868,5880.0,42.0,42.0,140.0,140.0,5516.0,14,562520.0,-0.025703200775945685,141.1429,0.7902
SA,纯碱,2020-03-09,long,2020-03-09,1506.0,2020-03-09 00:45:00,1527.0,exit,0.013944223107569721,7560.0,72.0,72.0,360.0,360.0,6696.0,18,542160.0,-0.030264005151320026,26.4286,0.7985
CU,沪铜,2005-07-22,long,2005-07-22,32900.0,2005-07-22 00:45:00,33650.0,exit,0.022796352583586626,18750.0,41.12,42.06,250.0,250.0,18166.81,5,822500.0,-0.015559545182525433,387.8571,0.7397
CU,沪铜,2005-09-09,long,2005-09-09,34370.0,2005-09-09 00:45:00,34550.0,exit,0.00523712540005819,4500.0,42.96,43.19,250.0,250.0,3913.85,5,859250.0,-0.015468347178458894,382.8571,0.7078
CU,沪铜,2005-09-19,long,2005-09-19,33750.0,2005-09-19 00:45:00,33510.0,exit,-0.0071111111111111115,-6000.0,42.19,41.89,250.0,250.0,-6584.08,5,843750.0,-0.015748031496062992,371.4286,0.7506
CU,沪铜,2005-11-23,long,2005-11-23,36350.0,2005-11-23 00:45:00,35610.0,exit,-0.020357634112792296,-14800.0,36.35,35.61,200.0,200.0,-15271.96,4,727000.0,-0.01783301810321535,414.2857,0.8107
CU,沪铜,2006-08-04,long,2006-08-04,66040.0,2006-08-04 00:45:00,68030.0,exit,0.030133252574197456,9950.0,16.51,17.01,50.0,50.0,9816.48,1,330200.0,-0.06006262453743239,2607.8571,0.7232
CU,沪铜,2006-10-31,long,2006-10-31,68860.0,2006-10-31 00:45:00,69040.0,exit,0.00261399941911124,1800.0,34.43,34.52,100.0,100.0,1531.05,2,688600.0,-0.01782912565967765,847.8571,0.7298
CU,沪铜,2006-11-09,long,2006-11-09,66890.0,2006-11-09 00:45:00,67140.0,exit,0.003737479443863059,2500.0,33.44,33.57,100.0,100.0,2232.98,2,668900.0,-0.019495749047200233,904.2857,0.7351
CU,沪铜,2008-02-13,short,2008-02-13,64590.0,2008-02-13 00:45:00,63650.0,exit,0.014553336429787893,4700.0,16.15,15.91,50.0,50.0,4567.94,1,322950.0,0.033109404990403074,1483.5714,0.7596
CU,沪铜,2008-05-30,long,2008-05-30,60050.0,2008-05-30 00:45:00,60560.0,exit,0.008492922564529558,5100.0,30.02,30.28,100.0,100.0,4839.7,2,600500.0,-0.022941750732183533,894.2857,0.7559
CU,沪铜,2009-03-05,short,2009-03-05,30580.0,2009-03-05 00:45:00,29500.0,exit,0.03531720078482668,5400.0,7.64,7.38,50.0,50.0,5284.98,1,152900.0,0.04582763337893297,1019.2857,0.7596
CU,沪铜,2009-06-04,long,2009-06-04,39200.0,2009-06-04 00:45:00,39580.0,exit,0.009693877551020408,1900.0,9.8,9.9,50.0,50.0,1780.3,1,196000.0,-0.03732809430255403,1173.5714,0.713
CU,沪铜,2009-09-25,long,2009-09-25,47000.0,2009-09-25 00:45:00,47220.0,exit,0.004680851063829788,1100.0,11.75,11.8,50.0,50.0,976.44,1,235000.0,-0.025098527276498653,1030.0,0.7137
CU,沪铜,2012-04-11,long,2012-04-11,58200.0,2012-04-11 00:45:00,57870.0,exit,-0.005670103092783505,-3300.0,29.1,28.94,100.0,100.0,-3558.04,2,582000.0,-0.019706922688226377,695.7143,0.7335
CU,沪铜,2012-04-16,long,2012-04-16,56800.0,2012-04-16 00:45:00,56720.0,exit,-0.0014084507042253522,-800.0,28.4,28.36,100.0,100.0,-1056.76,2,568000.0,-0.02119593313803205,747.8571,0.7614
CU,沪铜,2012-05-15,long,2012-05-15,55600.0,2012-05-15 00:45:00,55920.0,exit,0.0057553956834532375,4800.0,41.7,41.94,150.0,150.0,4416.36,3,834000.0,-0.011555555555555555,659.2857,0.7298
CU,沪铜,2013-06-21,long,2013-06-21,48960.0,2013-06-21 00:45:00,49650.0,exit,0.014093137254901961,6900.0,24.48,24.83,100.0,100.0,6650.7,2,489600.0,-0.015285599356395816,750.7143,0.7124
CU,沪铜,2014-02-24,long,2014-02-24,49800.0,2014-02-24 00:45:00,49840.0,exit,0.0008032128514056225,1000.0,62.25,62.3,250.0,250.0,375.45,5,1245000.0,-0.015031645569620253,387.8571,0.7749
CU,沪铜,2014-02-25,long,2014-02-25,49520.0,2014-02-25 00:45:00,49560.0,exit,0.0008077544426494346,800.0,49.52,49.56,200.0,200.0,300.92,4,990400.0,-0.006420545746388443,416.4286,0.7335
CU,沪铜,2014-04-15,long,2014-04-15,45870.0,2014-04-15 00:45:00,46150.0,exit,0.006104207543056464,5600.0,45.87,46.15,200.0,200.0,5107.98,4,917400.0,-0.01840359512090734,468.5714,0.7459
