symbol,name,trade_date,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct,pnl_gross,commission_entry,commission_exit,slippage_entry,slippage_exit,pnl_net,position_size,notional,gap_pct,atr_at_entry,confidence
RB,螺纹钢,2011-05-06,long,2011-05-06,4850.0,2011-05-06 00:45:00,4804.0,exit,-0.009484536082474227,-7820.0,82.45,81.67,170.0,170.0,-8324.12,17,824500.0,-0.012823122328516182,57.6429,0.7113
RB,螺纹钢,2013-04-16,long,2013-04-16,3680.0,2013-04-16 00:45:00,3750.0,exit,0.019021739130434784,9800.0,51.52,52.5,140.0,140.0,9415.98,14,515200.0,-0.015516318887105404,71.0,0.7444
RB,螺纹钢,2015-02-26,long,2015-02-26,2486.0,2015-02-26 00:45:00,2505.0,exit,0.007642799678197908,6080.0,79.55,80.16,320.0,320.0,5280.29,32,795520.0,-0.01932938856015779,30.5714,0.703
RB,螺纹钢,2015-03-09,short,2015-03-09,2478.0,2015-03-09 00:45:00,2486.0,exit,-0.003228410008071025,-2160.0,66.91,67.12,270.0,270.0,-2834.03,27,669060.0,0.02481389578163772,36.1429,0.7323
RB,螺纹钢,2020-03-09,long,2020-03-09,3350.0,2020-03-09 00:45:00,3439.0,exit,0.02656716417910448,14240.0,53.6,55.02,160.0,160.0,13811.38,16,536000.0,-0.026445800639349027,61.8571,0.7578
RB,螺纹钢,2024-12-10,short,2024-12-10,3390.0,2024-12-10 00:45:00,3402.0,exit,-0.0035398230088495575,-2040.0,57.63,57.83,170.0,170.0,-2495.46,17,576300.0,0.018018018018018018,56.7857,0.7059
RB,螺纹钢,2026-04-03,short,2026-04-03,3144.0,2026-04-03 00:45:00,3124.0,exit,0.006361323155216285,7000.0,110.04,109.34,350.0,350.0,6080.62,35,1100400.0,0.012234385061171926,28.4286,0.7107
I,铁矿石,2015-02-26,long,2015-02-26,480.0,2015-02-26 00:45:00,489.0,exit,0.01875,9900.0,52.8,53.79,550.0,550.0,8693.41,11,528000.0,-0.02636916835699797,9.0,0.7786
I,铁矿石,2015-03-09,long,2015-03-09,447.0,2015-03-09 00:45:00,454.0,exit,0.015659955257270694,6300.0,40.23,40.86,450.0,450.0,5318.91,9,402300.0,-0.019736842105263157,10.1429,0.7047
I,铁矿石,2024-12-10,short,2024-12-10,820.0,2024-12-10 00:45:00,817.0,exit,0.003658536585365854,1500.0,41.0,40.85,250.0,250.0,918.15,5,410000.0,0.01422387136672851,17.6071,0.7063
TA,PTA,2007-03-23,short,2007-03-23,8410.0,2007-03-23 00:45:00,8418.0,exit,-0.0009512485136741974,-1600.0,120.0,120.0,400.0,400.0,-2640.0,40,1682000.0,0.003101145038167939,49.8571,0.7062
TA,PTA,2007-03-30,short,2007-03-30,8370.0,2007-03-30 00:45:00,8376.0,exit,-0.0007168458781362007,-1200.0,120.0,120.0,400.0,400.0,-2240.0,40,1674000.0,0.004078694817658349,49.8571,0.7068
TA,PTA,2007-04-02,long,2007-04-02,8300.0,2007-04-02 00:45:00,8483.857142857143,take_profit,0.02215146299483652,29417.14,96.0,96.0,320.0,320.0,28585.14,32,1328000.0,-0.009073543457497613,61.2857,0.7848
TA,PTA,2007-04-04,short,2007-04-04,8688.0,2007-04-04 00:45:00,8692.0,exit,-0.00046040515653775324,-520.0,78.0,78.0,260.0,260.0,-1196.0,26,1129440.0,0.013768961493582263,75.4286,0.7116
TA,PTA,2010-01-20,short,2010-01-20,8640.0,2010-01-20 00:45:00,8464.0,exit,0.020370370370370372,8800.0,30.0,30.0,100.0,100.0,8540.0,10,432000.0,0.030534351145038167,189.7143,0.7395
TA,PTA,2010-04-28,long,2010-04-28,8354.0,2010-04-28 00:45:00,8430.0,exit,0.009097438352884846,9500.0,75.0,75.0,250.0,250.0,8850.0,25,1044250.0,-0.014626091059212079,78.7143,0.7089
TA,PTA,2011-12-15,long,2011-12-15,8036.0,2011-12-15 00:45:00,8120.0,exit,0.010452961672473868,5880.0,42.0,42.0,140.0,140.0,5516.0,14,562520.0,-0.025703200775945685,141.1429,0.7902
TA,PTA,2012-01-04,short,2012-01-04,8522.0,2012-01-04 00:45:00,8460.0,exit,0.007275287491199249,6200.0,60.0,60.0,200.0,200.0,5680.0,20,852200.0,0.013317479191438763,97.8571,0.733
TA,PTA,2012-09-14,short,2012-09-14,7950.0,2012-09-14 00:45:00,8092.0,exit,-0.017861635220125786,-9230.0,39.0,39.0,130.0,130.0,-9568.0,13,516750.0,0.026866442779643503,149.0,0.7299
MA,甲醇,2024-03-12,short,2024-03-12,2549.0,2024-03-12 00:45:00,2499.0,exit,0.019615535504119264,11500.0,46.0,46.0,230.0,230.0,10948.0,23,586270.0,0.003148366784730421,41.7143,0.708
SA,纯碱,2020-03-09,long,2020-03-09,1506.0,2020-03-09 00:45:00,1527.0,exit,0.013944223107569721,7560.0,72.0,72.0,360.0,360.0,6696.0,18,542160.0,-0.030264005151320026,26.4286,0.7985
CU,沪铜,2005-03-31,short,2005-03-31,31660.0,2005-03-31 00:45:00,31550.0,exit,0.003474415666456096,2200.0,31.66,31.55,200.0,200.0,1736.79,4,633200.0,0.012148337595907928,428.5714,0.717
CU,沪铜,2005-04-07,short,2005-04-07,32400.0,2005-04-07 00:45:00,32530.0,exit,-0.004012345679012346,-3250.0,40.5,40.66,250.0,250.0,-3831.16,5,810000.0,0.00903145437558393,370.0,0.7019
CU,沪铜,2005-07-22,long,2005-07-22,32900.0,2005-07-22 00:45:00,33650.0,exit,0.022796352583586626,18750.0,41.12,42.06,250.0,250.0,18166.81,5,822500.0,-0.015559545182525433,387.8571,0.7397
CU,沪铜,2005-07-25,short,2005-07-25,33980.0,2005-07-25 00:45:00,34580.0,exit,-0.017657445556209534,-12000.0,33.98,34.58,200.0,200.0,-12468.56,4,679600.0,0.009806835066864784,420.0,0.7314
CU,沪铜,2005-09-09,long,2005-09-09,34370.0,2005-09-09 00:45:00,34550.0,exit,0.00523712540005819,4500.0,42.96,43.19,250.0,250.0,3913.85,5,859250.0,-0.015468347178458894,382.8571,0.7078
CU,沪铜,2005-09-13,short,2005-09-13,35000.0,2005-09-13 00:45:00,34930.0,exit,0.002,1750.0,43.75,43.66,250.0,250.0,1162.59,5,875000.0,0.010101010101010102,362.1429,0.719
CU,沪铜,2005-09-19,long,2005-09-19,33750.0,2005-09-19 00:45:00,33510.0,exit,-0.0071111111111111115,-6000.0,42.19,41.89,250.0,250.0,-6584.08,5,843750.0,-0.015748031496062992,371.4286,0.7506
CU,沪铜,2005-11-11,short,2005-11-11,37050.0,2005-11-11 00:45:00,37090.0,exit,-0.0010796221322537112,-800.0,37.05,37.09,200.0,200.0,-1274.14,4,741000.0,0.012848551120831055,443.5714,0.7043
