symbol,name,trade_date,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct,pnl_gross,commission_entry,commission_exit,slippage_entry,slippage_exit,pnl_net,position_size,notional,gap_pct,atr_at_entry,confidence
RB,螺纹钢,2009-05-27,short,2009-05-27,3628.0,2009-05-27 00:45:00,3610.0,exit,0.004961411245865491,5760.0,116.1,115.52,320.0,320.0,4888.38,32,1160960.0,0.007497917245209664,30.9286,0.6201
RB,螺纹钢,2009-06-01,short,2009-06-01,3630.0,2009-06-01 00:45:00,3647.0,exit,-0.004683195592286501,-5100.0,108.9,109.41,300.0,300.0,-5918.31,30,1089000.0,0.00554016620498615,32.3571,0.6292
RB,螺纹钢,2009-06-02,short,2009-06-02,3660.0,2009-06-02 00:45:00,3655.0,exit,0.001366120218579235,1650.0,120.78,120.62,330.0,330.0,748.6,33,1207800.0,0.003564573622155196,29.7143,0.6239
RB,螺纹钢,2009-06-05,short,2009-06-05,3721.0,2009-06-05 00:45:00,3756.0,exit,-0.009406073636119323,-10150.0,107.91,108.92,290.0,290.0,-10946.83,29,1079090.0,0.005675675675675676,34.0,0.7093
RB,螺纹钢,2009-06-10,short,2009-06-10,3792.0,2009-06-10 00:45:00,3808.0,exit,-0.004219409282700422,-4160.0,98.59,99.01,260.0,260.0,-4877.6,26,985920.0,0.003440063508864779,37.3571,0.6285
RB,螺纹钢,2009-07-23,short,2009-07-23,4088.0,2009-07-23 00:45:00,4122.0,exit,-0.008317025440313111,-8840.0,106.29,107.17,260.0,260.0,-9573.46,26,1062880.0,0.003929273084479371,38.2857,0.6386
RB,螺纹钢,2009-07-27,short,2009-07-27,4198.0,2009-07-27 00:45:00,4236.0,exit,-0.009051929490233444,-7980.0,88.16,88.96,210.0,210.0,-8577.11,21,881580.0,0.0033460803059273425,47.0714,0.6319
RB,螺纹钢,2009-07-31,short,2009-07-31,4482.0,2009-07-31 00:45:00,4627.0,exit,-0.03235162873717091,-18850.0,58.27,60.15,130.0,130.0,-19228.42,13,582660.0,0.008550855085508551,72.8571,0.61
RB,螺纹钢,2009-08-03,short,2009-08-03,4777.0,2009-08-03 00:45:00,4857.0,exit,-0.01674691228804689,-8800.0,52.55,53.43,110.0,110.0,-9125.97,11,525470.0,0.03241841365895829,87.7857,0.6888
RB,螺纹钢,2009-08-04,short,2009-08-04,4950.0,2009-08-04 00:45:00,4841.0,exit,0.02202020202020202,10900.0,49.5,48.41,100.0,100.0,10602.09,10,495000.0,0.019147621988882025,93.2143,0.6005
RB,螺纹钢,2009-11-05,short,2009-11-05,4003.0,2009-11-05 00:45:00,4015.0,exit,-0.0029977516862353237,-1320.0,44.03,44.16,110.0,110.0,-1628.2,11,440330.0,0.02931344818719465,84.6429,0.616
RB,螺纹钢,2010-01-07,short,2010-01-07,4641.0,2010-01-07 00:45:00,4444.5,take_profit,0.042340012928248225,29475.0,69.62,66.67,150.0,150.0,29038.72,15,696150.0,0.004110774556469061,65.5,0.6401
RB,螺纹钢,2010-01-13,long,2010-01-13,4420.0,2010-01-13 00:45:00,4418.0,exit,-0.00045248868778280545,-240.0,53.04,53.02,120.0,120.0,-586.06,12,530400.0,-0.019955654101995565,80.0,0.6191
RB,螺纹钢,2010-01-28,long,2010-01-28,4260.0,2010-01-28 00:45:00,4293.0,exit,0.007746478873239437,4950.0,63.9,64.4,150.0,150.0,4521.7,15,639000.0,-0.012974976830398516,64.9286,0.6029
RB,螺纹钢,2010-03-29,short,2010-03-29,4812.0,2010-03-29 00:45:00,4810.0,exit,0.00041562759767248546,340.0,81.8,81.77,170.0,170.0,-163.57,17,818040.0,0.0039641143334028794,58.7143,0.612
RB,螺纹钢,2010-04-12,short,2010-04-12,4865.0,2010-04-12 00:45:00,4872.0,exit,-0.0014388489208633094,-1540.0,107.03,107.18,220.0,220.0,-2194.21,22,1070300.0,0.0035066006600660065,45.3571,0.6027
RB,螺纹钢,2010-04-19,long,2010-04-19,4802.0,2010-04-19 00:45:00,4752.0,exit,-0.010412328196584756,-10500.0,100.84,99.79,210.0,210.0,-11120.63,21,1008420.0,-0.007441091360066143,47.0,0.6547
RB,螺纹钢,2010-04-20,short,2010-04-20,4770.0,2010-04-20 00:45:00,4772.0,exit,-0.0004192872117400419,-440.0,104.94,104.98,220.0,220.0,-1089.92,22,1049400.0,0.003787878787878788,44.0714,0.6027
RB,螺纹钢,2010-06-07,long,2010-06-07,4059.0,2010-06-07 00:45:00,4021.0,exit,-0.009361911800936191,-5320.0,56.83,56.29,140.0,140.0,-5713.12,14,568260.0,-0.02894736842105263,69.3571,0.6159
RB,螺纹钢,2010-06-23,long,2010-06-23,4099.0,2010-06-23 00:45:00,4080.0,exit,-0.004635276896804099,-3230.0,69.68,69.36,170.0,170.0,-3709.04,17,696830.0,-0.009424842919284679,56.6429,0.6424
RB,螺纹钢,2010-08-18,short,2010-08-18,4387.0,2010-08-18 00:45:00,4361.0,exit,0.0059266013220879874,4940.0,83.35,82.86,190.0,190.0,4393.79,19,833530.0,0.004579803068468056,51.7143,0.6129
RB,螺纹钢,2010-08-30,short,2010-08-30,4295.0,2010-08-30 00:45:00,4334.0,exit,-0.009080325960419092,-8190.0,90.2,91.01,210.0,210.0,-8791.21,21,901950.0,0.006326148078725398,46.2143,0.6035
RB,螺纹钢,2010-09-01,short,2010-09-01,4328.0,2010-09-01 00:45:00,4352.0,exit,-0.005545286506469501,-5280.0,95.22,95.74,220.0,220.0,-5910.96,22,952160.0,0.0037105751391465678,44.6429,0.6084
RB,螺纹钢,2010-09-02,short,2010-09-02,4380.0,2010-09-02 00:45:00,4386.0,exit,-0.0013698630136986301,-1320.0,96.36,96.49,220.0,220.0,-1952.85,22,963600.0,0.006433823529411764,44.9286,0.6155
RB,螺纹钢,2010-09-06,short,2010-09-06,4471.0,2010-09-06 00:45:00,4585.714285714285,stop_loss,-0.025657411253474687,-19501.43,76.01,77.96,170.0,170.0,-19995.39,17,760070.0,0.024284077892325315,57.3571,0.6022
RB,螺纹钢,2010-10-20,long,2010-10-20,4410.0,2010-10-20 00:45:00,4421.0,exit,0.002494331065759637,1210.0,48.51,48.63,110.0,110.0,892.86,11,485100.0,-0.017598574292715528,84.4286,0.6021
RB,螺纹钢,2010-11-05,short,2010-11-05,4650.0,2010-11-05 00:45:00,4708.0,exit,-0.012473118279569893,-8700.0,69.75,70.62,150.0,150.0,-9140.37,15,697500.0,0.009552757273122015,64.0714,0.6029
RB,螺纹钢,2010-11-17,long,2010-11-17,4529.0,2010-11-17 00:45:00,4550.0,exit,0.00463678516228748,1890.0,40.76,40.95,90.0,90.0,1628.29,9,407610.0,-0.025182953077916487,100.9286,0.6427
RB,螺纹钢,2011-05-06,long,2011-05-06,4850.0,2011-05-06 00:45:00,4804.0,exit,-0.009484536082474227,-7820.0,82.45,81.67,170.0,170.0,-8324.12,17,824500.0,-0.012823122328516182,57.6429,0.6764
RB,螺纹钢,2011-05-13,short,2011-05-13,4803.0,2011-05-13 00:45:00,4850.0,exit,-0.009785550697480742,-8460.0,86.45,87.3,180.0,180.0,-8993.75,18,864540.0,0.00439146800501882,54.2143,0.6142
RB,螺纹钢,2011-08-05,long,2011-08-05,4884.0,2011-08-05 00:45:00,4806.428571428572,stop_loss,-0.015882765882765857,-19392.86,122.1,120.16,250.0,250.0,-20135.12,25,1221000.0,-0.008123476848090982,38.7857,0.6189
RB,螺纹钢,2011-08-09,long,2011-08-09,4700.0,2011-08-09 00:45:00,4591.857142857143,stop_loss,-0.02300911854103338,-19465.71,84.6,82.65,180.0,180.0,-19992.97,18,846000.0,-0.017147636971978252,54.0714,0.6463
RB,螺纹钢,2011-09-13,long,2011-09-13,4775.0,2011-09-13 00:45:00,4783.0,exit,0.001675392670157068,2400.0,143.25,143.49,300.0,300.0,1513.26,30,1432500.0,-0.0033395950740972655,33.1429,0.6052
RB,螺纹钢,2011-09-19,long,2011-09-19,4700.0,2011-09-19 00:45:00,4619.428571428572,stop_loss,-0.017142857142857116,-19337.14,112.8,110.87,240.0,240.0,-20040.81,24,1128000.0,-0.005501481168006771,40.2857,0.6525
RB,螺纹钢,2011-09-22,long,2011-09-22,4590.0,2011-09-22 00:45:00,4568.0,exit,-0.004793028322440087,-4840.0,100.98,100.5,220.0,220.0,-5481.48,22,1009800.0,-0.009281243254910426,45.2857,0.6195
RB,螺纹钢,2011-09-23,long,2011-09-23,4480.0,2011-09-23 00:45:00,4514.0,exit,0.007589285714285714,6460.0,85.12,85.77,190.0,190.0,5909.11,19,851200.0,-0.01926444833625219,51.7857,0.7227
